CLE,Mo Williams,0,47,19
CLE,Shaquille O'Neal,0,25,6
CLE,Shaquille O'Neal,0,25,6
CHA,Stephen Jackson,0,2,8
CLE,Mo Williams,1,2,6
CHA,Stephen Jackson,1,25,6
CLE,LeBron James,1,25,6
CHA,Nazr Mohammed,1,23,13
CHA,Stephen Jackson,0,35,13
CHA,Raymond Felton,0,25,6
CLE,Anthony Parker,0,48,7
CHA,Ronald Murray,1,25,6
CLE,Anthony Parker,0,42,24
CHA,Ronald Murray,1,9,26
CLE,Mo Williams,0,38,37
CHA,Stephen Jackson,1,25,6
CLE,Mo Williams,1,8,7
CHA,Gerald Wallace,1,1,5
CLE,Mo Williams,1,17,22
CHA,Gerald Wallace,1,1,6
CLE,Shaquille O'Neal,0,16,9
CHA,Gerald Wallace,0,25,6
CHA,Boris Diaw,1,9,20
CLE,Shaquille O'Neal,1,27,12
CHA,Raymond Felton,0,8,27
CLE,Mo Williams,0,1,7
CHA,Gerald Wallace,1,28,31
CLE,Shaquille O'Neal,1,30,9
CHA,Raymond Felton,0,30,24
CLE,Jamario Moon,1,42,24
CHA,Stephen Jackson,0,37,10
CLE,LeBron James,1,25,6
CHA,Nazr Mohammed,1,20,13
CLE,Shaquille O'Neal,0,25,12
CLE,J.J. Hickson,1,25,6
CHA,Stephen Jackson,0,7,19
CHA,Gerald Wallace,1,25,6
CHA,Gerald Wallace,1,21,9
CLE,LeBron James,1,12,29
CHA,Stephen Jackson,0,9,25
CLE,Jamario Moon,0,48,6
CLE,LeBron James,1,11,28
CHA,Derrick Brown,0,15,7
CLE,LeBron James,0,43,23
CHA,Derrick Brown,0,31,18
CLE,Mo Williams,0,42,19
CLE,Mo Williams,1,25,6
CHA,D.J. Augustin,0,25,6
CHA,Stephen Jackson,1,25,6
CLE,Mo Williams,1,13,18
CHA,Gerald Wallace,0,37,28
CLE,Daniel Green,0,24,42
CLE,Mo Williams,0,12,14
CLE,Daniel Green,1,25,6
CHA,Ronald Murray,1,13,24
CHA,Raymond Felton,1,12,19
CHA,Raymond Felton,1,29,20
CLE,Anderson Varejao,1,25,6
CHA,Ronald Murray,1,25,6
CLE,Anthony Parker,0,47,6
CHA,Tyson Chandler,0,25,6
CLE,Shaquille O'Neal,1,26,12
CHA,Stephen Jackson,0,25,13
CLE,Daniel Gibson,1,32,11
CHA,Ronald Murray,0,11,10
CHA,Nazr Mohammed,0,25,6
CLE,LeBron James,0,26,35
CLE,Daniel Gibson,0,40,25
CHA,Boris Diaw,0,25,22
CLE,LeBron James,0,26,12
CHA,Gerald Wallace,0,33,30
CLE,Jamario Moon,1,25,6
CLE,Mo Williams,0,42,24
CHA,Ronald Murray,0,32,25
CLE,Anderson Varejao,0,19,9
CHA,Raymond Felton,0,19,25
CLE,Jamario Moon,1,0,7
CHA,Boris Diaw,0,28,10
CHA,Gerald Wallace,0,2,7
CHA,Raymond Felton,0,25,6
CLE,LeBron James,0,25,6
CLE,Jamario Moon,0,1,15
CHA,Stephen Jackson,0,5,14
CLE,Mo Williams,0,37,30
CHA,Raymond Felton,0,41,18
CLE,LeBron James,1,25,6
CLE,LeBron James,0,30,31
CLE,Mo Williams,0,8,29
CLE,Daniel Gibson,0,14,31
