IND,Jamaal Tinsley,0,32,11
NYK,Jamal Crawford,0,9,15
IND,Jermaine O'Neal,1,10,13
IND,Jermaine O'Neal,1,25,6
NYK,Quentin Richardson,0,39,13
IND,Danny Granger,1,43,25
NYK,Quentin Richardson,0,11,10
NYK,Zach Randolph,0,25,6
NYK,Zach Randolph,0,25,6
IND,Marquis Daniels,1,24,16
NYK,Zach Randolph,0,25,6
IND,Troy Murphy,1,27,31
IND,Troy Murphy,0,26,30
IND,Marquis Daniels,1,24,16
NYK,Jamal Crawford,0,36,8
NYK,Eddy Curry,0,25,6
IND,Mike Dunleavy,0,41,10
IND,Troy Murphy,1,9,24
NYK,Zach Randolph,1,25,6
NYK,Stephon Marbury,1,25,11
IND,Danny Granger,1,35,19
NYK,Zach Randolph,1,25,35
NYK,Quentin Richardson,1,1,7
IND,Mike Dunleavy,1,32,24
NYK,Eddy Curry,1,25,6
NYK,Quentin Richardson,0,1,10
NYK,Zach Randolph,1,45,5
IND,Mike Dunleavy,1,31,11
IND,Jermaine O'Neal,1,13,7
NYK,Stephon Marbury,0,26,32
IND,Jermaine O'Neal,0,20,13
NYK,Stephon Marbury,1,25,6
IND,Troy Murphy,1,32,29
NYK,Jamal Crawford,0,44,22
IND,Jermaine O'Neal,0,17,7
NYK,Stephon Marbury,1,25,6
NYK,Stephon Marbury,0,25,6
IND,Mike Dunleavy,1,25,6
NYK,Stephon Marbury,0,34,9
IND,Mike Dunleavy,0,39,9
NYK,Jamal Crawford,1,26,15
IND,Jamaal Tinsley,0,17,11
NYK,Zach Randolph,0,25,6
NYK,Stephon Marbury,0,28,36
NYK,Quentin Richardson,0,25,6
IND,Mike Dunleavy,1,25,6
NYK,Jamal Crawford,0,19,19
NYK,Stephon Marbury,0,42,25
NYK,Jamal Crawford,0,22,31
IND,Mike Dunleavy,1,25,6
IND,Mike Dunleavy,1,25,6
IND,Kareem Rush,0,8,26
IND,Marquis Daniels,0,31,16
NYK,David Lee,0,25,6
IND,Mike Dunleavy,1,1,13
NYK,Stephon Marbury,1,25,6
IND,Marquis Daniels,1,25,6
NYK,Eddy Curry,0,16,7
IND,Danny Granger,0,21,30
NYK,Zach Randolph,0,25,6
IND,Mike Dunleavy,0,2,18
IND,Danny Granger,1,29,14
IND,Danny Granger,0,11,28
IND,Marquis Daniels,1,30,15
NYK,David Lee,1,37,10
IND,Marquis Daniels,1,38,21
IND,Marquis Daniels,1,25,6
IND,Troy Murphy,0,49,6
NYK,Zach Randolph,1,28,12
IND,Marquis Daniels,0,33,16
IND,Jeff Foster,1,25,6
NYK,Quentin Richardson,0,2,9
IND,Troy Murphy,0,21,32
NYK,Eddy Curry,1,25,6
IND,Danny Granger,1,25,6
IND,Troy Murphy,1,25,6
NYK,Zach Randolph,0,21,22
IND,Jamaal Tinsley,0,32,26
NYK,Jamal Crawford,0,22,17
IND,Jermaine O'Neal,1,16,15
IND,Mike Dunleavy,1,36,30
IND,Mike Dunleavy,1,12,7
NYK,David Lee,0,16,7
IND,Danny Granger,1,1,7
NYK,David Lee,1,25,6
IND,Shawne Williams,1,25,6
NYK,David Lee,1,25,6
IND,Shawne Williams,0,37,28
NYK,Stephon Marbury,0,34,14
IND,David Harrison,1,25,6
NYK,Mardy Collins,0,21,13
IND,Kareem Rush,1,40,26
NYK,David Lee,1,43,13
IND,Troy Murphy,1,40,26
IND,Kareem Rush,0,48,11
NYK,Mardy Collins,0,26,27
NYK,Stephon Marbury,0,45,9
NYK,Mardy Collins,0,25,6
NYK,Stephon Marbury,1,23,11
