IND,Roy Hibbert,1,25,6
ATL,Ronald Murray,0,1,6
ATL,Ronald Murray,1,25,6
IND,T.J. Ford,0,17,25
ATL,Al Horford,1,23,15
IND,T.J. Ford,1,16,11
ATL,Mike Bibby,1,41,8
IND,Jarrett Jack,0,23,11
IND,Roy Hibbert,0,25,6
ATL,Mike Bibby,0,18,10
IND,Marquis Daniels,1,22,6
ATL,Ronald Murray,0,20,10
ATL,Solomon Jones,1,25,6
IND,Jarrett Jack,0,1,11
ATL,Joe Johnson,1,16,11
IND,T.J. Ford,1,18,9
IND,Roy Hibbert,1,25,6
ATL,Al Horford,1,24,7
IND,Marquis Daniels,0,25,15
ATL,Joe Johnson,1,1,9
IND,Jarrett Jack,0,33,21
ATL,Maurice Evans,0,26,26
IND,T.J. Ford,0,24,25
IND,Troy Murphy,0,22,23
ATL,Joe Johnson,0,44,26
IND,Jarrett Jack,0,23,8
IND,Roy Hibbert,1,25,6
ATL,Joe Johnson,1,26,6
IND,Jarrett Jack,0,21,26
ATL,Al Horford,0,23,26
IND,Marquis Daniels,0,25,6
ATL,Zaza Pachulia,1,25,6
IND,Troy Murphy,0,30,10
IND,Roy Hibbert,0,25,6
ATL,Joe Johnson,1,12,18
IND,T.J. Ford,0,12,21
ATL,Mike Bibby,0,27,33
IND,Marquis Daniels,0,29,24
IND,Marquis Daniels,1,26,16
ATL,Joe Johnson,0,7,7
IND,Marquis Daniels,1,32,7
ATL,Al Horford,0,10,13
IND,Marquis Daniels,0,41,7
IND,Jarrett Jack,0,31,12
ATL,Mike Bibby,1,10,10
IND,T.J. Ford,1,27,18
ATL,Maurice Evans,1,2,20
IND,T.J. Ford,1,28,7
ATL,Josh Smith,0,30,25
ATL,Mike Bibby,1,44,8
IND,Roy Hibbert,0,17,11
ATL,Mike Bibby,1,40,19
IND,Marquis Daniels,0,11,20
ATL,Joe Johnson,1,33,18
IND,T.J. Ford,0,5,9
IND,Brandon Rush,1,41,26
ATL,Mike Bibby,0,31,27
IND,Jarrett Jack,0,24,18
ATL,Maurice Evans,1,17,32
IND,T.J. Ford,0,23,6
IND,Jeff Foster,1,25,6
IND,Troy Murphy,0,14,33
ATL,Josh Smith,0,25,10
ATL,Joe Johnson,0,24,17
ATL,Maurice Evans,1,25,6
IND,T.J. Ford,0,23,6
ATL,Mike Bibby,0,14,31
IND,T.J. Ford,0,40,15
ATL,Joe Johnson,1,23,8
ATL,Ronald Murray,0,25,6
IND,T.J. Ford,1,22,6
ATL,Josh Smith,1,25,8
IND,Brandon Rush,0,5,24
IND,Rasho Nesterovic,0,18,10
ATL,Joe Johnson,0,40,30
IND,Marquis Daniels,0,27,7
ATL,Joe Johnson,0,19,15
IND,T.J. Ford,0,31,21
ATL,Mike Bibby,1,48,7
IND,Jarrett Jack,0,3,44
ATL,Ronald Murray,1,24,22
IND,Marquis Daniels,0,27,7
ATL,Joe Johnson,1,26,6
IND,Brandon Rush,1,13,21
ATL,Joe Johnson,0,24,26
IND,Jarrett Jack,1,24,7
ATL,Ronald Murray,0,49,8
ATL,Al Horford,1,25,6
IND,Jarrett Jack,0,21,10
ATL,Zaza Pachulia,1,32,24
IND,Marquis Daniels,0,13,21
ATL,Ronald Murray,0,26,7
IND,Troy Murphy,1,48,11
ATL,Al Horford,0,34,9
IND,Brandon Rush,0,35,22
ATL,Al Horford,1,25,13
ATL,Joe Johnson,1,8,13
IND,Troy Murphy,0,17,31
ATL,Al Horford,0,22,7
IND,Jarrett Jack,1,27,6
ATL,Josh Smith,1,25,6
IND,T.J. Ford,1,17,14
ATL,Al Horford,1,28,7
IND,Roy Hibbert,0,18,8
ATL,Acie Law,0,39,15
IND,T.J. Ford,1,21,7
ATL,Maurice Evans,0,48,9
ATL,Acie Law,0,23,23
IND,Jarrett Jack,0,3,22
ATL,Al Horford,1,24,16
IND,T.J. Ford,1,20,12
ATL,Ronald Murray,1,26,6
ATL,Mike Bibby,0,43,12
ATL,Acie Law,0,23,7
IND,T.J. Ford,1,23,7
ATL,Solomon Jones,1,38,16
IND,T.J. Ford,1,6,9
ATL,Maurice Evans,1,8,26
IND,Brandon Rush,0,25,19
