WAS,DeShawn Stevenson,0,41,10
NJN,Clifford Robinson,1,11,26
WAS,Gilbert Arenas,0,36,23
WAS,Gilbert Arenas,1,42,19
NJN,Vince Carter,0,25,6
WAS,Jarvis Hayes,1,13,23
NJN,Vince Carter,0,40,22
WAS,DeShawn Stevenson,1,9,19
NJN,Jason Kidd,0,29,18
NJN,Jason Kidd,1,11,27
WAS,Brendan Haywood,0,26,12
NJN,Jason Kidd,0,27,31
NJN,Jason Kidd,1,2,12
WAS,Gilbert Arenas,1,19,33
NJN,Jason Kidd,1,3,18
WAS,Jarvis Hayes,1,25,6
NJN,Hassan Adams,1,25,6
WAS,DeShawn Stevenson,0,24,26
NJN,Mikki Moore,1,25,6
WAS,Jarvis Hayes,0,18,27
NJN,Jason Kidd,1,47,17
WAS,DeShawn Stevenson,0,9,9
NJN,Jason Kidd,1,46,19
WAS,Gilbert Arenas,0,37,22
WAS,Brendan Haywood,1,25,6
WAS,Calvin Booth,0,20,20
NJN,Vince Carter,0,32,31
WAS,Gilbert Arenas,0,49,5
WAS,Brendan Haywood,1,25,6
NJN,Jason Kidd,1,42,11
WAS,DeShawn Stevenson,0,25,6
NJN,Mikki Moore,0,25,6
WAS,Gilbert Arenas,0,1,11
NJN,Jason Kidd,1,41,14
WAS,Gilbert Arenas,0,25,6
NJN,Vince Carter,0,43,6
NJN,Vince Carter,0,40,26
NJN,Jason Kidd,0,40,27
WAS,Gilbert Arenas,1,13,26
NJN,Eddie House,1,1,6
WAS,Gilbert Arenas,1,17,32
WAS,Roger Mason,1,1,6
NJN,Marcus Williams,0,39,18
WAS,Gilbert Arenas,0,25,6
WAS,Jarvis Hayes,0,46,19
WAS,Roger Mason,0,25,6
NJN,Vince Carter,0,12,25
WAS,Gilbert Arenas,0,16,30
NJN,Vince Carter,0,26,13
WAS,Roger Mason,1,25,6
WAS,Darius Songaila,1,25,6
NJN,Vince Carter,1,25,6
WAS,Jarvis Hayes,1,9,14
NJN,Vince Carter,0,24,16
NJN,Eddie House,1,1,5
NJN,Bostjan Nachbar,1,49,7
WAS,Gilbert Arenas,0,25,6
NJN,Eddie House,0,48,6
NJN,Bostjan Nachbar,1,25,6
WAS,Roger Mason,0,29,27
NJN,Bostjan Nachbar,0,47,18
WAS,Jarvis Hayes,1,45,19
NJN,Eddie House,0,48,5
WAS,Jarvis Hayes,0,14,22
WAS,Gilbert Arenas,0,45,20
WAS,DeShawn Stevenson,1,42,6
NJN,Clifford Robinson,0,42,15
WAS,Jarvis Hayes,0,15,31
WAS,DeShawn Stevenson,1,41,25
NJN,Bostjan Nachbar,1,48,11
WAS,DeShawn Stevenson,0,22,27
WAS,Darius Songaila,0,25,6
NJN,Jason Kidd,0,47,9
WAS,Jarvis Hayes,1,4,21
NJN,Jason Kidd,1,25,6
WAS,Gilbert Arenas,0,25,6
NJN,Bostjan Nachbar,1,29,18
WAS,Gilbert Arenas,0,25,6
NJN,Jason Kidd,1,48,7
WAS,Jarvis Hayes,0,15,30
WAS,Roger Mason,1,25,6
WAS,Donell Taylor,0,25,28
WAS,Andray Blatche,1,25,6
