DAL,Jason Terry,0,42,28
CHI,Ben Wallace,0,43,24
DAL,Devin Harris,0,41,19
CHI,Luol Deng,1,26,27
DAL,Jason Terry,0,9,16
CHI,Luol Deng,1,25,6
CHI,P.J. Brown,0,26,13
CHI,Ben Gordon,1,23,22
DAL,Josh Howard,0,40,13
DAL,Josh Howard,0,1,5
DAL,Dirk Nowitzki,0,37,14
DAL,Jason Terry,1,8,24
CHI,Kirk Hinrich,0,38,10
DAL,Dirk Nowitzki,1,39,10
CHI,Ben Gordon,0,9,15
DAL,Josh Howard,0,25,13
CHI,Luol Deng,0,39,11
DAL,Jason Terry,0,25,6
CHI,Kirk Hinrich,1,38,21
DAL,Dirk Nowitzki,0,27,25
DAL,Josh Howard,0,25,12
DAL,Jason Terry,0,11,14
CHI,Ben Gordon,0,45,5
CHI,Kirk Hinrich,0,18,30
CHI,Luol Deng,0,35,7
DAL,Jerry Stackhouse,0,44,10
CHI,Kirk Hinrich,1,44,11
DAL,Greg Buckner,1,25,6
CHI,P.J. Brown,1,38,7
DAL,Greg Buckner,0,2,5
CHI,Malik Allen,0,25,6
CHI,P.J. Brown,1,25,6
DAL,Dirk Nowitzki,0,17,30
CHI,Ben Gordon,1,34,24
DAL,Dirk Nowitzki,0,8,11
CHI,Kirk Hinrich,0,41,21
CHI,Luol Deng,1,25,6
DAL,Dirk Nowitzki,0,10,20
DAL,Jerry Stackhouse,1,46,20
CHI,Ben Gordon,1,13,21
DAL,Jerry Stackhouse,0,48,7
DAL,Jerry Stackhouse,0,10,18
CHI,Luol Deng,0,25,6
DAL,Greg Buckner,1,25,6
CHI,Luol Deng,0,25,6
CHI,Kirk Hinrich,0,34,22
DAL,Devean George,1,7,23
CHI,Luol Deng,0,23,17
CHI,Malik Allen,0,25,6
DAL,Jason Terry,0,14,29
CHI,Tyrus Thomas,0,25,6
DAL,Jason Terry,1,40,14
DAL,Devean George,0,25,6
CHI,Ben Gordon,0,32,20
CHI,Chris Duhon,0,49,8
DAL,Jerry Stackhouse,0,41,5
DAL,Devean George,0,1,7
CHI,Chris Duhon,1,25,6
DAL,Dirk Nowitzki,1,25,6
CHI,Ben Gordon,0,27,32
DAL,Josh Howard,1,35,23
CHI,Ben Gordon,1,42,13
DAL,Devin Harris,0,43,15
CHI,Kirk Hinrich,0,10,20
DAL,Josh Howard,1,25,6
CHI,Kirk Hinrich,1,47,19
DAL,Josh Howard,0,9,25
DAL,Erick Dampier,1,25,6
CHI,Luol Deng,0,25,6
CHI,Ben Gordon,1,26,18
DAL,Dirk Nowitzki,0,15,12
CHI,Kirk Hinrich,0,25,6
DAL,Dirk Nowitzki,0,32,21
DAL,Dirk Nowitzki,1,32,30
CHI,P.J. Brown,1,34,19
DAL,Josh Howard,0,48,7
CHI,Kirk Hinrich,1,42,24
DAL,Dirk Nowitzki,1,13,28
DAL,Erick Dampier,1,25,6
CHI,P.J. Brown,1,25,6
DAL,Jason Terry,0,9,25
CHI,Ben Gordon,0,45,10
CHI,P.J. Brown,1,39,10
DAL,Jason Terry,0,25,6
DAL,Josh Howard,1,25,6
DAL,Jason Terry,0,7,24
DAL,Dirk Nowitzki,0,41,22
DAL,DJ Mbenga,1,25,6
