TOR,Juan Dixon,1,42,24
WAS,Andray Blatche,0,25,31
TOR,Rasho Nesterovic,1,19,10
WAS,DeShawn Stevenson,0,4,20
TOR,Carlos Delfino,1,35,29
WAS,Roger Mason,1,2,7
TOR,Rasho Nesterovic,1,31,11
WAS,Antawn Jamison,0,30,12
TOR,Jason Kapono,0,33,7
WAS,Andray Blatche,1,25,6
TOR,Carlos Delfino,0,49,9
TOR,Juan Dixon,0,16,30
WAS,Roger Mason,0,48,9
WAS,Brendan Haywood,0,40,8
TOR,Andrea Bargnani,0,38,9
TOR,Jose Calderon,0,25,6
TOR,Rasho Nesterovic,1,25,6
WAS,Roger Mason,0,18,30
WAS,Brendan Haywood,0,29,10
WAS,Brendan Haywood,1,23,10
TOR,Chris Bosh,1,25,6
WAS,Andray Blatche,1,21,28
TOR,Chris Bosh,1,15,12
WAS,Antawn Jamison,1,42,18
TOR,Chris Bosh,0,11,20
WAS,Andray Blatche,0,25,6
WAS,Antawn Jamison,0,17,30
TOR,Andrea Bargnani,1,44,12
WAS,Antonio Daniels,1,8,7
TOR,Chris Bosh,0,14,5
WAS,DeShawn Stevenson,0,36,27
TOR,Anthony Parker,1,26,23
WAS,Brendan Haywood,0,38,7
WAS,Antawn Jamison,0,22,14
TOR,Chris Bosh,0,37,22
TOR,Chris Bosh,0,25,12
WAS,Andray Blatche,0,25,6
WAS,DeShawn Stevenson,0,17,9
TOR,Chris Bosh,1,40,10
WAS,Brendan Haywood,1,20,11
TOR,Anthony Parker,1,1,6
TOR,Anthony Parker,1,8,25
WAS,Nick Young,1,36,11
TOR,Andrea Bargnani,1,18,30
TOR,Andrea Bargnani,0,25,14
WAS,DeShawn Stevenson,1,25,6
TOR,Andrea Bargnani,1,27,30
WAS,Nick Young,1,10,26
TOR,Jose Calderon,0,7,24
WAS,Andray Blatche,0,33,21
TOR,Andrea Bargnani,0,40,26
TOR,Chris Bosh,1,25,6
TOR,Jamario Moon,1,25,6
WAS,Brendan Haywood,0,26,13
TOR,Jose Calderon,1,25,6
TOR,Andrea Bargnani,0,25,6
WAS,Oleksiy Pecherov,0,23,28
WAS,Oleksiy Pecherov,0,42,23
WAS,Nick Young,0,34,20
WAS,Dominic McGuire,1,25,6
WAS,Nick Young,1,25,6
TOR,Juan Dixon,1,25,6
WAS,Oleksiy Pecherov,1,10,26
TOR,Carlos Delfino,1,15,29
WAS,Nick Young,0,11,15
WAS,Darius Songaila,0,11,7
TOR,Carlos Delfino,1,46,18
TOR,Jason Kapono,0,8,6
WAS,Roger Mason,0,10,26
TOR,Maceo Baston,1,25,6
WAS,Nick Young,0,8,12
