SAC,Spencer Hawes,1,25,6
ATL,Joe Johnson,0,33,9
SAC,Beno Udrih,0,25,6
SAC,Jason Thompson,1,25,6
ATL,Mike Bibby,1,0,13
SAC,Spencer Hawes,0,35,21
SAC,Kevin Martin,1,1,10
ATL,Mike Bibby,1,36,11
ATL,Joe Johnson,1,27,7
SAC,Beno Udrih,0,27,7
ATL,Al Horford,1,25,6
ATL,Joe Johnson,1,22,7
ATL,Josh Smith,1,31,13
SAC,Spencer Hawes,1,21,12
ATL,Joe Johnson,0,28,13
ATL,Mike Bibby,0,38,32
SAC,Kevin Martin,0,39,27
SAC,Spencer Hawes,0,25,6
SAC,Jason Thompson,0,25,11
SAC,Jason Thompson,0,23,7
SAC,Francisco Garcia,0,27,17
ATL,Joe Johnson,0,23,32
SAC,Beno Udrih,0,41,27
SAC,Jason Thompson,1,25,6
ATL,Joe Johnson,1,13,22
SAC,Kevin Martin,0,45,27
SAC,Beno Udrih,0,34,8
ATL,Ronald Murray,1,25,6
SAC,Francisco Garcia,0,0,11
SAC,Spencer Hawes,0,43,28
ATL,Joe Johnson,0,14,21
SAC,Beno Udrih,1,7,12
SAC,Kevin Martin,0,42,30
ATL,Joe Johnson,0,24,7
ATL,Joe Johnson,1,25,6
ATL,Joe Johnson,1,23,7
ATL,Joe Johnson,1,28,15
ATL,Al Horford,1,27,7
SAC,Jason Thompson,0,25,14
ATL,Ronald Murray,0,48,8
SAC,Will Solomon,0,44,26
SAC,Will Solomon,0,11,18
ATL,Josh Smith,0,35,10
ATL,Al Horford,0,25,6
SAC,Andres Nocioni,0,5,21
ATL,Ronald Murray,1,26,6
ATL,Al Horford,1,25,6
SAC,Francisco Garcia,0,8,10
ATL,Mike Bibby,0,13,21
ATL,Zaza Pachulia,0,37,17
SAC,Will Solomon,0,27,12
ATL,Maurice Evans,0,41,28
SAC,Rashad McCants,0,45,24
SAC,Francisco Garcia,1,23,6
ATL,Acie Law,0,27,10
SAC,Francisco Garcia,0,38,21
ATL,Zaza Pachulia,1,11,14
SAC,Will Solomon,0,7,27
ATL,Ronald Murray,1,17,25
SAC,Spencer Hawes,0,40,10
ATL,Maurice Evans,1,8,9
SAC,Will Solomon,0,32,25
ATL,Maurice Evans,1,23,7
SAC,Spencer Hawes,0,10,8
SAC,Donte Greene,1,9,31
ATL,Thomas Gardner,0,25,33
SAC,Donte Greene,0,40,30
ATL,Acie Law,1,28,6
