LAL,Derek Fisher,0,25,6
ATL,Josh Smith,0,25,6
LAL,Vladimir Radmanovic,1,25,6
ATL,Jeremy Richardson,1,49,13
LAL,Kobe Bryant,1,25,6
ATL,Jeremy Richardson,1,1,6
ATL,Josh Childress,1,43,26
ATL,Al Horford,0,30,15
LAL,Derek Fisher,1,25,16
ATL,Al Horford,1,25,6
LAL,Pau Gasol,1,23,9
ATL,Joe Johnson,1,28,11
LAL,Derek Fisher,0,25,6
LAL,Kobe Bryant,0,11,28
ATL,Mike Bibby,0,42,28
LAL,Lamar Odom,0,7,7
ATL,Marvin Williams,0,25,6
LAL,Lamar Odom,1,25,6
ATL,Josh Smith,1,33,26
ATL,Joe Johnson,1,25,6
LAL,Pau Gasol,1,25,6
ATL,Josh Smith,0,32,9
LAL,Pau Gasol,0,25,6
LAL,Vladimir Radmanovic,0,0,6
LAL,Lamar Odom,1,25,6
ATL,Josh Smith,0,48,9
ATL,Acie Law,1,25,6
LAL,Derek Fisher,1,1,10
ATL,Acie Law,1,25,6
LAL,Lamar Odom,0,25,6
LAL,Pau Gasol,0,25,6
LAL,Kobe Bryant,1,7,15
ATL,Zaza Pachulia,1,25,6
LAL,Kobe Bryant,0,25,6
ATL,Acie Law,1,25,6
LAL,Vladimir Radmanovic,0,20,18
ATL,Joe Johnson,1,13,29
LAL,Pau Gasol,0,43,11
ATL,Josh Smith,0,28,11
ATL,Josh Smith,1,25,6
LAL,Kobe Bryant,0,25,6
ATL,Josh Childress,1,25,6
LAL,Kobe Bryant,1,25,6
ATL,Joe Johnson,1,28,34
LAL,Pau Gasol,1,27,16
ATL,Acie Law,0,25,6
LAL,Jordan Farmar,1,45,8
ATL,Acie Law,0,25,6
ATL,Josh Childress,1,25,6
LAL,Ronny Turiaf,1,25,6
LAL,Sasha Vujacic,0,2,5
ATL,Marvin Williams,0,25,6
ATL,Zaza Pachulia,1,25,6
LAL,Luke Walton,1,21,18
ATL,Acie Law,0,19,18
LAL,Jordan Farmar,1,15,31
ATL,Josh Childress,0,25,6
LAL,Jordan Farmar,0,25,6
ATL,Marvin Williams,0,25,6
ATL,Josh Smith,0,43,17
ATL,Josh Childress,1,25,6
LAL,Ronny Turiaf,0,15,19
LAL,Jordan Farmar,1,11,29
ATL,Marvin Williams,0,25,6
LAL,Jordan Farmar,0,9,27
LAL,Ronny Turiaf,1,25,6
ATL,Acie Law,1,28,10
LAL,Sasha Vujacic,0,42,26
LAL,DJ Mbenga,0,29,19
ATL,Zaza Pachulia,0,13,17
ATL,Solomon Jones,0,34,11
LAL,Sasha Vujacic,1,6,8
ATL,Acie Law,1,25,6
LAL,DJ Mbenga,0,29,22
LAL,Coby Karl,0,31,11
LAL,DJ Mbenga,0,28,17
ATL,Acie Law,0,25,6
ATL,Salim Stoudamire,0,40,21
LAL,Coby Karl,1,25,6
ATL,Zaza Pachulia,1,25,6
LAL,Ronny Turiaf,0,31,13
LAL,Luke Walton,0,43,23
LAL,Sasha Vujacic,1,8,7
ATL,Zaza Pachulia,0,26,12
ATL,Salim Stoudamire,0,7,11
LAL,Coby Karl,0,10,27
ATL,Salim Stoudamire,1,25,6
LAL,Coby Karl,1,21,9
ATL,Zaza Pachulia,0,25,25
LAL,Sasha Vujacic,1,42,5
ATL,Jeremy Richardson,1,42,18
