NYK,Fred Jones,0,25,6
NYK,Jared Jeffries,0,25,6
ORL,Dwight Howard,1,25,6
NYK,Jamal Crawford,0,11,20
NYK,Fred Jones,0,25,6
ORL,Dwight Howard,1,25,6
NYK,Jamal Crawford,0,4,20
NYK,Nate Robinson,0,44,22
ORL,Rashard Lewis,1,25,6
NYK,Wilson Chandler,0,25,6
NYK,David Lee,1,25,6
ORL,Dwight Howard,1,25,6
NYK,David Lee,1,10,5
ORL,Rashard Lewis,0,30,6
NYK,Wilson Chandler,1,2,12
ORL,Keith Bogans,0,4,19
NYK,Wilson Chandler,1,25,6
ORL,Jameer Nelson,1,12,19
NYK,Nate Robinson,0,8,10
ORL,Hedo Turkoglu,1,25,6
NYK,Jamal Crawford,0,45,2
NYK,Jamal Crawford,0,28,12
NYK,Jamal Crawford,0,23,11
ORL,Keith Bogans,0,49,3
NYK,Nate Robinson,0,8,44
NYK,Jamal Crawford,1,34,29
ORL,Maurice Evans,1,2,8
NYK,David Lee,0,40,14
ORL,Rashard Lewis,0,36,28
ORL,Rashard Lewis,0,1,2
NYK,Jamal Crawford,0,7,23
ORL,Hedo Turkoglu,0,28,10
ORL,Jameer Nelson,1,5,14
ORL,Jameer Nelson,1,25,6
NYK,Jared Jeffries,0,25,6
NYK,Zach Randolph,1,25,6
ORL,Jameer Nelson,1,12,27
NYK,Zach Randolph,1,25,6
NYK,Zach Randolph,1,25,6
ORL,Pat Garrity,0,43,23
NYK,Wilson Chandler,0,39,20
NYK,Zach Randolph,0,9,4
ORL,Pat Garrity,0,1,4
NYK,Jared Jeffries,1,25,6
NYK,Wilson Chandler,1,25,6
ORL,Maurice Evans,1,25,6
NYK,Zach Randolph,0,11,4
ORL,Jameer Nelson,0,42,4
NYK,Wilson Chandler,0,43,23
ORL,Maurice Evans,0,25,6
ORL,Maurice Evans,0,25,6
ORL,Maurice Evans,1,25,6
NYK,Zach Randolph,0,11,10
ORL,Pat Garrity,0,36,28
ORL,Maurice Evans,1,32,29
NYK,Fred Jones,1,6,21
ORL,Pat Garrity,0,30,30
NYK,Fred Jones,0,42,24
ORL,Maurice Evans,0,49,2
ORL,Maurice Evans,0,41,5
NYK,Mardy Collins,0,22,13
ORL,Pat Garrity,0,19,9
NYK,Nate Robinson,0,18,12
NYK,Zach Randolph,0,20,28
ORL,Hedo Turkoglu,1,25,6
NYK,Nate Robinson,0,42,23
NYK,Wilson Chandler,0,9,45
ORL,Keith Bogans,0,1,2
NYK,Wilson Chandler,0,6,4
NYK,Zach Randolph,0,2,3
ORL,Hedo Turkoglu,0,44,22
NYK,Fred Jones,1,49,3
ORL,Dwight Howard,0,17,6
NYK,Wilson Chandler,0,22,10
NYK,Zach Randolph,1,25,6
ORL,Hedo Turkoglu,1,25,6
NYK,Zach Randolph,1,6,4
ORL,Maurice Evans,1,49,2
NYK,Nate Robinson,0,25,6
NYK,David Lee,0,25,6
ORL,Keyon Dooling,1,42,5
NYK,Mardy Collins,0,11,9
ORL,Keith Bogans,0,38,7
NYK,Fred Jones,1,2,4
ORL,Maurice Evans,0,1,3
NYK,Wilson Chandler,0,1,4
NYK,Wilson Chandler,1,25,6
ORL,Maurice Evans,0,48,3
NYK,Wilson Chandler,1,25,6
ORL,Rashard Lewis,0,48,7
ORL,Rashard Lewis,0,42,24
NYK,Mardy Collins,0,28,30
ORL,Rashard Lewis,1,43,24
NYK,David Lee,1,25,6
ORL,Jameer Nelson,1,36,22
NYK,Nate Robinson,1,25,6
ORL,Hedo Turkoglu,0,41,24
NYK,Nate Robinson,1,7,23
NYK,Nate Robinson,0,7,23
NYK,Mardy Collins,0,25,6
NYK,Randolph Morris,0,25,6
ORL,Hedo Turkoglu,0,25,6
ORL,Hedo Turkoglu,0,41,16
ORL,Hedo Turkoglu,0,27,31
ORL,Rashard Lewis,0,3,19
ORL,Hedo Turkoglu,1,25,6
ORL,Jameer Nelson,1,28,30
ORL,Rashard Lewis,0,43,23
NYK,Nate Robinson,1,25,6
ORL,Jameer Nelson,0,3,17
ORL,Hedo Turkoglu,0,43,22
ORL,Hedo Turkoglu,1,44,22
