LAL,Andrew Bynum,1,25,6
CLE,LeBron James,0,40,21
LAL,Luke Walton,1,24,6
CLE,Zydrunas Ilgauskas,1,18,8
LAL,Andrew Bynum,1,37,16
CLE,Drew Gooden,0,42,13
LAL,Kobe Bryant,1,19,22
CLE,LeBron James,1,24,6
LAL,Andrew Bynum,1,25,5
LAL,Derek Fisher,0,25,7
LAL,Lamar Odom,1,25,6
CLE,Daniel Gibson,0,47,7
CLE,Daniel Gibson,1,7,16
LAL,Luke Walton,0,43,16
LAL,Luke Walton,1,40,11
CLE,LeBron James,0,33,25
CLE,Larry Hughes,0,26,7
CLE,Larry Hughes,1,25,5
LAL,Derek Fisher,1,25,7
CLE,LeBron James,0,40,19
LAL,Andrew Bynum,0,26,9
CLE,LeBron James,0,20,13
LAL,Kobe Bryant,1,26,7
CLE,Anderson Varejao,0,23,7
CLE,Anderson Varejao,1,25,6
LAL,Trevor Ariza,0,26,10
CLE,Larry Hughes,0,32,18
CLE,Devin Brown,1,26,6
LAL,Kobe Bryant,0,24,33
CLE,Ira Newble,0,1,8
CLE,Larry Hughes,1,25,6
LAL,Sasha Vujacic,0,38,27
CLE,Devin Brown,1,38,28
LAL,Vladimir Radmanovic,0,49,6
CLE,Zydrunas Ilgauskas,1,43,6
CLE,Devin Brown,1,25,7
LAL,Sasha Vujacic,0,33,30
LAL,Jordan Farmar,0,36,43
LAL,Sasha Vujacic,0,40,8
CLE,Sasha Pavlovic,0,18,14
CLE,Anderson Varejao,1,25,6
CLE,Larry Hughes,0,12,27
LAL,Kobe Bryant,0,23,9
LAL,Andrew Bynum,0,25,6
LAL,Andrew Bynum,1,25,5
LAL,Lamar Odom,1,24,6
CLE,LeBron James,0,40,14
LAL,Kobe Bryant,1,38,13
CLE,LeBron James,0,23,13
LAL,Kobe Bryant,0,11,19
CLE,LeBron James,0,27,24
CLE,Devin Brown,0,32,17
CLE,LeBron James,0,27,7
LAL,Derek Fisher,1,42,12
CLE,Zydrunas Ilgauskas,0,27,23
CLE,LeBron James,1,25,6
LAL,Luke Walton,0,30,15
LAL,Luke Walton,1,24,5
CLE,Devin Brown,0,22,9
LAL,Derek Fisher,0,8,8
CLE,Sasha Pavlovic,0,10,28
CLE,LeBron James,1,16,20
LAL,Derek Fisher,0,22,28
CLE,Daniel Gibson,0,2,5
LAL,Luke Walton,0,13,9
LAL,Kobe Bryant,0,41,19
CLE,LeBron James,0,27,27
LAL,Derek Fisher,0,41,29
CLE,LeBron James,0,23,8
LAL,Lamar Odom,0,1,7
LAL,Kobe Bryant,0,40,30
LAL,Kobe Bryant,0,41,16
