GSW,Jamal Crawford,1,47,20
GSW,Jamal Crawford,1,25,32
DEN,Linas Kleiza,0,1,11
GSW,Kelenna Azubuike,1,25,15
DEN,Renaldo Balkman,1,35,19
GSW,C.J. Watson,1,48,11
DEN,Linas Kleiza,1,25,6
DEN,J.R. Smith,0,8,25
GSW,C.J. Watson,0,48,7
DEN,Anthony Carter,1,24,27
GSW,Jamal Crawford,1,19,12
DEN,J.R. Smith,0,5,21
GSW,Jamal Crawford,0,27,32
GSW,C.J. Watson,0,23,18
GSW,Anthony Morrow,0,46,21
GSW,Anthony Randolph,0,24,12
DEN,Renaldo Balkman,1,24,22
GSW,Kelenna Azubuike,0,32,25
DEN,J.R. Smith,1,25,6
GSW,Kelenna Azubuike,1,46,20
DEN,Linas Kleiza,0,25,6
DEN,Linas Kleiza,1,25,6
GSW,C.J. Watson,0,2,13
GSW,Kelenna Azubuike,1,25,6
DEN,J.R. Smith,1,25,6
GSW,C.J. Watson,1,24,12
DEN,Johan Petro,1,18,12
GSW,Kelenna Azubuike,0,23,26
GSW,Kelenna Azubuike,1,45,22
GSW,C.J. Watson,1,25,6
GSW,Anthony Morrow,1,45,21
GSW,Jamal Crawford,1,25,6
DEN,Anthony Carter,0,39,14
GSW,Jamal Crawford,1,25,6
DEN,Renaldo Balkman,1,3,18
GSW,Anthony Morrow,0,44,22
GSW,Jamal Crawford,0,46,24
