MIL,Mo Williams,0,20,30
POR,Steve Blake,0,4,20
POR,Travis Outlaw,0,13,20
MIL,Michael Redd,1,25,6
POR,James Jones,0,2,5
MIL,Charlie Villanueva,0,38,26
MIL,Michael Redd,0,44,23
POR,Steve Blake,1,2,12
MIL,Andrew Bogut,1,33,6
POR,Steve Blake,0,2,5
MIL,Mo Williams,0,21,31
MIL,Michael Redd,0,34,10
MIL,Michael Redd,1,47,16
POR,Brandon Roy,1,9,17
MIL,Mo Williams,0,25,6
MIL,Andrew Bogut,1,25,6
POR,James Jones,0,48,5
MIL,Michael Redd,0,41,8
POR,Brandon Roy,0,16,13
POR,LaMarcus Aldridge,1,15,11
MIL,Michael Redd,0,41,18
POR,Travis Outlaw,0,6,10
MIL,Mo Williams,0,35,26
MIL,Michael Redd,0,44,22
POR,Brandon Roy,1,25,6
MIL,Mo Williams,0,25,6
MIL,Michael Redd,0,2,6
MIL,Michael Redd,0,5,9
MIL,Mo Williams,0,18,30
