NOH,Marcus Thornton,1,25,6
NOH,Darren Collison,0,22,25
PHX,Louis Amundson,1,25,6
PHX,Channing Frye,0,6,21
NOH,Darius Songaila,1,8,7
PHX,Louis Amundson,0,25,6
NOH,Marcus Thornton,0,25,6
PHX,Jared Dudley,1,2,15
NOH,Darius Songaila,1,20,16
NOH,David West,0,24,10
NOH,Morris Peterson,0,25,6
NOH,David West,1,25,6
PHX,Jason Richardson,0,4,19
NOH,Emeka Okafor,0,20,9
PHX,Steve Nash,0,36,12
NOH,Darren Collison,1,24,17
PHX,Robin Lopez,1,25,6
NOH,Julian Wright,1,25,6
PHX,Jason Richardson,1,25,6
NOH,Marcus Thornton,0,9,26
PHX,Jared Dudley,0,2,7
NOH,Darren Collison,1,14,19
PHX,Jason Richardson,0,25,6
NOH,Julian Wright,0,46,15
NOH,Marcus Thornton,1,25,6
PHX,Amare Stoudemire,1,27,12
NOH,David West,1,18,7
PHX,Amare Stoudemire,0,26,10
PHX,Robin Lopez,0,25,6
NOH,David West,0,2,5
NOH,Marcus Thornton,1,10,29
NOH,Emeka Okafor,1,25,6
PHX,Amare Stoudemire,0,12,20
NOH,David West,1,35,25
NOH,Julian Wright,1,25,6
PHX,Amare Stoudemire,0,22,20
NOH,David West,1,25,6
PHX,Steve Nash,1,11,21
NOH,Morris Peterson,0,24,14
PHX,Amare Stoudemire,1,25,6
NOH,Darren Collison,0,40,26
NOH,David West,0,25,6
PHX,Jason Richardson,0,31,8
PHX,Amare Stoudemire,1,25,6
NOH,Morris Peterson,0,2,12
PHX,Amare Stoudemire,1,36,21
NOH,David West,0,25,26
NOH,Darren Collison,0,25,27
PHX,Jason Richardson,1,25,6
NOH,Marcus Thornton,1,28,10
NOH,Julian Wright,0,43,7
PHX,Grant Hill,0,25,6
NOH,Marcus Thornton,1,25,6
PHX,Jason Richardson,1,25,6
NOH,Darius Songaila,0,8,8
PHX,Amare Stoudemire,1,20,9
NOH,Marcus Thornton,1,19,7
PHX,Jason Richardson,0,41,6
NOH,Marcus Thornton,1,25,6
PHX,Jason Richardson,0,48,5
NOH,Marcus Thornton,0,8,7
PHX,Steve Nash,1,4,18
NOH,Marcus Thornton,1,25,6
PHX,Jared Dudley,1,25,6
PHX,Channing Frye,0,11,24
NOH,Marcus Thornton,1,25,6
PHX,Amare Stoudemire,0,24,21
NOH,Darius Songaila,0,5,6
NOH,David West,1,29,9
PHX,Goran Dragic,1,26,31
PHX,Amare Stoudemire,1,25,6
PHX,Amare Stoudemire,1,25,6
PHX,Jared Dudley,1,13,20
NOH,Darius Songaila,0,29,27
NOH,Morris Peterson,1,47,16
PHX,Goran Dragic,0,3,16
NOH,Darius Songaila,0,31,9
PHX,Jason Richardson,1,25,6
NOH,Marcus Thornton,1,14,30
NOH,Darren Collison,0,20,8
NOH,David West,0,36,6
PHX,Goran Dragic,0,26,12
PHX,Channing Frye,1,8,8
NOH,Marcus Thornton,0,34,30
PHX,Jason Richardson,1,25,6
PHX,Jason Richardson,1,2,15
NOH,Darren Collison,1,19,7
PHX,Louis Amundson,1,25,6
NOH,Emeka Okafor,1,16,17
PHX,Louis Amundson,1,25,6
NOH,Morris Peterson,0,5,8
NOH,Emeka Okafor,1,25,6
PHX,Earl Clark,0,33,21
NOH,Emeka Okafor,1,25,22
PHX,Taylor Griffin,0,19,9
NOH,Morris Peterson,1,25,6
PHX,Earl Clark,0,10,12
NOH,Marcus Thornton,1,2,13
NOH,Aaron Gray,0,19,7
NOH,Marcus Thornton,1,12,28
PHX,Goran Dragic,1,25,6
NOH,Marcus Thornton,0,25,6
PHX,Earl Clark,1,11,27
NOH,Morris Peterson,1,48,16
NOH,Aaron Gray,1,25,6
