MIN,Ryan Gomes,1,42,19
MIN,Marko Jaric,0,25,6
MIN,Ryan Gomes,0,11,16
LAL,Lamar Odom,1,25,6
LAL,Kobe Bryant,1,14,29
LAL,Kobe Bryant,0,12,29
MIN,Greg Buckner,0,41,24
LAL,Andrew Bynum,1,28,9
MIN,Al Jefferson,1,11,5
MIN,Sebastian Telfair,0,25,6
LAL,Jordan Farmar,0,42,26
MIN,Craig Smith,1,23,11
LAL,Sasha Vujacic,0,45,8
LAL,Andrew Bynum,1,25,6
MIN,Craig Smith,0,25,14
MIN,Craig Smith,1,23,13
LAL,Andrew Bynum,1,25,6
MIN,Al Jefferson,0,31,13
MIN,Antoine Walker,0,39,27
LAL,Sasha Vujacic,1,25,6
MIN,Antoine Walker,0,31,10
LAL,Sasha Vujacic,0,1,14
MIN,Ryan Gomes,1,25,6
LAL,Sasha Vujacic,1,44,10
MIN,Marko Jaric,0,8,25
LAL,Vladimir Radmanovic,0,42,26
MIN,Sebastian Telfair,1,16,17
MIN,Gerald Green,1,1,5
LAL,Kobe Bryant,0,38,30
MIN,Sebastian Telfair,1,31,17
LAL,Kobe Bryant,1,25,6
MIN,Sebastian Telfair,0,23,12
LAL,Jordan Farmar,0,1,14
MIN,Gerald Green,0,12,7
MIN,Antoine Walker,0,25,6
MIN,Antoine Walker,0,25,6
MIN,Sebastian Telfair,1,46,18
LAL,Vladimir Radmanovic,0,22,12
LAL,Kobe Bryant,0,41,19
MIN,Gerald Green,1,31,23
LAL,Lamar Odom,1,25,6
MIN,Al Jefferson,1,25,6
LAL,Lamar Odom,1,25,6
MIN,Sebastian Telfair,1,9,27
LAL,Kobe Bryant,0,38,21
MIN,Ryan Gomes,0,40,7
MIN,Al Jefferson,0,23,15
MIN,Gerald Green,0,25,24
MIN,Greg Buckner,0,25,11
MIN,Al Jefferson,0,16,7
MIN,Al Jefferson,0,15,13
MIN,Greg Buckner,0,25,6
MIN,Al Jefferson,1,24,11
LAL,Luke Walton,0,25,6
LAL,Chris Mihm,1,25,6
MIN,Al Jefferson,0,25,6
MIN,Al Jefferson,1,25,6
MIN,Sebastian Telfair,0,30,11
LAL,Luke Walton,0,47,18
LAL,Kobe Bryant,1,26,33
MIN,Sebastian Telfair,0,18,13
