ORL,Hedo Turkoglu,1,46,24
ATL,Josh Smith,0,5,11
ORL,Keith Bogans,1,25,6
ATL,Joe Johnson,1,35,17
ORL,Dwight Howard,1,27,14
ATL,Marvin Williams,0,7,14
ORL,Dwight Howard,1,25,6
ATL,Marvin Williams,1,25,6
ORL,Keith Bogans,0,48,14
ATL,Josh Smith,0,23,11
ATL,Al Horford,1,25,6
ORL,Keyon Dooling,0,39,10
ATL,Josh Smith,1,25,6
ATL,Joe Johnson,0,47,22
ORL,Rashard Lewis,0,27,13
ORL,Rashard Lewis,1,25,6
ORL,Keyon Dooling,0,40,21
ATL,Zaza Pachulia,0,33,22
ORL,Hedo Turkoglu,1,45,23
ATL,Mike Bibby,0,26,24
ATL,Joe Johnson,1,29,25
ATL,Mike Bibby,0,34,23
ORL,Rashard Lewis,0,38,11
ATL,Josh Smith,1,26,35
ORL,Hedo Turkoglu,0,17,11
ATL,Josh Smith,0,26,12
ATL,Marvin Williams,0,4,13
ORL,Maurice Evans,0,1,10
ATL,Joe Johnson,1,9,13
ORL,Jameer Nelson,1,48,13
ORL,Hedo Turkoglu,1,25,6
ATL,Mike Bibby,0,25,33
ORL,Rashard Lewis,0,44,25
ORL,Maurice Evans,0,25,6
ORL,Jameer Nelson,1,25,6
ATL,Al Horford,0,6,12
ORL,Jameer Nelson,0,25,6
ATL,Joe Johnson,0,41,18
ORL,Maurice Evans,1,25,6
ORL,Maurice Evans,1,25,6
ORL,Jameer Nelson,0,25,6
ATL,Joe Johnson,1,25,13
ORL,Rashard Lewis,0,25,6
ORL,Rashard Lewis,0,25,6
ATL,Joe Johnson,1,25,6
ORL,Rashard Lewis,0,25,6
ORL,Hedo Turkoglu,0,41,27
ORL,Rashard Lewis,1,20,32
ORL,Keyon Dooling,0,35,21
ATL,Mike Bibby,0,36,17
ATL,Joe Johnson,0,23,23
ORL,Maurice Evans,1,1,10
ATL,Mike Bibby,0,26,14
ORL,Keyon Dooling,0,25,6
ORL,Keyon Dooling,0,25,6
ATL,Josh Smith,1,25,6
ORL,Rashard Lewis,0,31,13
ATL,Joe Johnson,1,42,8
ORL,Keyon Dooling,0,25,6
ORL,Hedo Turkoglu,0,28,10
ATL,Mike Bibby,1,6,27
ORL,Hedo Turkoglu,0,23,32
ATL,Mike Bibby,1,11,30
ORL,Keith Bogans,0,6,24
ATL,Joe Johnson,1,10,32
ORL,Hedo Turkoglu,1,5,25
ATL,Joe Johnson,0,25,6
ATL,Joe Johnson,0,25,6
ATL,Mike Bibby,0,37,31
ATL,Josh Smith,0,25,24
ORL,Hedo Turkoglu,1,34,11
ATL,Mike Bibby,0,25,6
ORL,Keith Bogans,0,49,10
ORL,Rashard Lewis,1,25,6
